iter	Passed	Remaining
707	3052	1258
708	3058	1255
709	3061	1250
710	3064	1245
711	3069	1241
712	3072	1236
713	3077	1232
714	3080	1227
715	3084	1223
716	3087	1218
717	3091	1214
718	3094	1209
719	3099	1205
720	3102	1200
721	3106	1195
722	3109	1191
723	3112	1186
724	3116	1182
725	3119	1177
726	3123	1172
727	3127	1168
728	3132	1164
729	3139	1161
730	3142	1156
731	3146	1151
732	3149	1147
733	3153	1142
734	3156	1138
735	3165	1135
736	3173	1132
737	3183	1130
738	3187	1125
739	3190	1120
740	3196	1117
741	3200	1112
742	3203	1108
743	3207	1103
744	3211	1099
745	3215	1094
746	3218	1090
747	3222	1085
748	3226	1081
749	3230	1076
750	3233	1072
751	3237	1067
752	3240	1063
753	3245	1058
754	3249	1054
755	3253	1049
756	3257	1045
757	3260	1041
758	3264	1036
759	3267	1031
760	3271	1027
761	3275	1022
762	3279	1018
763	3283	1014
764	3286	1009
765	3290	1005
766	3294	1000
767	3297	996
768	3300	991
769	3304	987
770	3308	982
771	3311	978
772	3315	973
773	3318	969
774	3322	964
775	3326	960
776	3329	955
777	3333	951
778	3336	946
779	3340	942
780	3344	937
781	3350	933
782	3354	929
783	3359	925
784	3364	921
785	3371	917
786	3375	913
787	3379	909
788	3383	904
789	3387	900
790	3391	896
791	3395	891
792	3399	887
793	3403	882
794	3407	878
795	3412	874
796	3419	871
797	3423	866
798	3428	862
799	3434	858
800	3440	854
801	3447	851
802	3452	846
803	3459	843
804	3466	839
805	3471	835
806	3477	831
807	3483	827
808	3489	823
809	3497	820
810	3504	816
811	3510	812
812	3515	808
813	3522	804
814	3528	800
815	3533	796
816	3549	794
817	3559	791
818	3570	789
819	3585	787
820	3590	782
821	3601	779
822	3614	777
823	3623	773
824	3632	770
825	3648	768
826	3659	765
827	3670	762
828	3689	761
829	3696	757
830	3713	755
831	3720	751
832	3734	748
833	3750	746
834	3770	745
835	3781	741
836	3797	739
837	3811	736
838	3830	735
839	3839	731
840	3855	729
841	3865	725
842	3873	721
843	3878	716
844	3885	712
845	3890	708
846	3896	703
847	3901	699
848	3912	695
849	3917	691
850	3921	686
851	3926	682
852	3930	677
853	3934	672
854	3938	667
855	3942	663
856	3948	658
857	3952	654
858	3957	649
859	3962	645
860	3968	640
861	3973	636
862	3977	631
863	3980	626
864	3984	621
865	3988	617
866	3991	612
867	3995	607
868	3999	602
869	4002	598
870	4006	593
871	4010	588
872	4013	583
873	4017	579
874	4021	574
875	4025	569
876	4028	565
877	4032	560
878	4035	555
879	4043	551
880	4046	546
881	4050	541
882	4053	537
883	4057	532
884	4061	527
885	4064	523
886	4068	518
887	4072	513
888	4075	508
889	4083	504
890	4087	500
891	4090	495
892	4094	490
893	4098	485
894	4101	481
895	4105	476
896	4109	471
897	4112	467
898	4116	462
899	4120	457
900	4123	453
901	4126	448
902	4130	443
903	4133	438
904	4136	434
905	4142	429
906	4147	425
907	4152	420
908	4156	416
909	4162	411
910	4167	407
911	4170	402
912	4174	397
913	4182	393
914	4186	388
915	4189	384
916	4193	379
917	4197	374
918	4201	370
919	4204	365
920	4208	360
921	4212	356
922	4216	351
923	4220	347
924	4223	342
925	4227	337
926	4231	333
927	4234	328
928	4238	323
929	4241	319
930	4245	314
931	4249	310
932	4252	305
933	4256	300
934	4259	296
935	4263	291
936	4266	286
937	4270	282
938	4274	277
939	4277	273
940	4281	268
941	4284	263
942	4289	259
943	4293	254
944	4296	250
945	4300	245
946	4303	240
947	4307	236
948	4311	231
949	4314	227
950	4318	222
951	4321	217
952	4325	213
953	4329	208
954	4333	204
955	4336	199
956	4340	195
957	4346	190
958	4353	186
959	4357	181
960	4363	177
961	4368	172
962	4371	167
963	4375	163
964	4379	158
965	4382	154
966	4387	149
967	4390	145
968	4394	140
969	4398	136
970	4401	131
971	4404	126
972	4408	122
973	4412	117
974	4415	113
975	4418	108
976	4422	104
977	4425	99
978	4429	95
979	4432	90
980	4436	85
981	4439	81
982	4443	76
983	4447	72
984	4450	67
985	4454	63
986	4458	58
987	4462	54
988	4466	49
989	4469	45
990	4474	40
991	4480	36
992	4493	31
993	4503	27
994	4517	22
995	4529	18
996	4536	13
997	4552	9
998	4559	4
999	4565	0
