iter	Logloss
0	0.5948859829
1	0.5240073476
2	0.4927447492
3	0.468758397
4	0.4545747752
5	0.4394523123
6	0.4251128784
7	0.408284134
8	0.3994207731
9	0.3911286621
10	0.3815317442
11	0.3721170508
12	0.3664409465
13	0.3619840513
14	0.3546841476
15	0.3483442229
16	0.344838731
17	0.3423147386
18	0.3401198706
19	0.3350462832
20	0.3316323398
21	0.3290931668
22	0.3268650236
23	0.3256509405
24	0.3232450794
25	0.3203210539
26	0.3177035922
27	0.3162549593
28	0.3132270072
29	0.3096048844
30	0.3056179632
31	0.3027070213
32	0.3001399574
33	0.2972669948
34	0.2951410722
35	0.2930245223
36	0.2913572625
37	0.2887437133
38	0.2858776643
39	0.2839500124
40	0.2824111751
41	0.2805605946
42	0.2780889257
43	0.2755640488
44	0.2743677306
45	0.2732366368
46	0.2712938234
47	0.2699788391
48	0.2691569802
49	0.2673232077
50	0.2656070837
51	0.2636648486
52	0.2628689142
53	0.2609858629
54	0.2596076678
55	0.2581869948
56	0.2564897678
57	0.2548616356
58	0.25281453
59	0.25136796
60	0.2492011387
61	0.2474947013
62	0.2448754756
63	0.2431060128
64	0.2409512559
65	0.2389232044
66	0.2373621893
67	0.2364064641
68	0.2346334526
69	0.2328567651
70	0.2310654813
71	0.2285939822
72	0.2262650113
73	0.2241974677
74	0.2226132924
75	0.2213928847
76	0.2200344108
77	0.2191162498
78	0.21619594
79	0.2143243494
80	0.211766282
81	0.2105895158
82	0.2082690243
83	0.2066786317
84	0.2050200958
85	0.2031099301
86	0.2006499708
87	0.1993047684
88	0.1973831391
89	0.1955409238
90	0.1928696264
91	0.1912693382
92	0.1897152962
93	0.1879002932
94	0.186352929
95	0.1845999341
96	0.1830348359
97	0.1819029591
98	0.1802415484
99	0.1788902836
100	0.1778119971
101	0.1765785919
102	0.1759969323
103	0.1747009471
104	0.1734673923
105	0.1727729498
106	0.1715690372
107	0.1707318606
108	0.1695775864
109	0.1684792146
110	0.1670219815
111	0.1661595995
112	0.1650946009
113	0.1641658273
114	0.1631828493
115	0.162127611
116	0.1616450609
117	0.1608195762
118	0.1595027052
119	0.1585873667
120	0.1574833787
121	0.1557363533
122	0.1549363461
123	0.1533182963
124	0.1519860739
125	0.1510898447
126	0.1492606248
127	0.1478085542
128	0.1471943685
129	0.1455458781
130	0.1442016041
131	0.143193314
132	0.1419219283
133	0.140938594
134	0.1399994034
135	0.1395064044
136	0.138351516
137	0.1372141315
138	0.1362309396
139	0.1347268646
140	0.1335643616
141	0.1320468914
142	0.1308803348
143	0.1301405669
144	0.1298202199
145	0.1293673383
146	0.1287295239
147	0.1279830075
148	0.1268035424
149	0.1258558748
150	0.1247309956
151	0.1240859649
152	0.1229647146
153	0.1223992213
154	0.1216704719
155	0.1212142813
156	0.1209015265
157	0.1201503887
158	0.1192183036
159	0.1182568854
160	0.1176127055
161	0.1171152973
162	0.1162172956
163	0.1154429076
164	0.1154139216
165	0.1144194666
166	0.1134041793
167	0.112706016
168	0.1121326038
169	0.1115047472
170	0.1112555718
171	0.1101130559
172	0.1096064987
173	0.1091299121
174	0.1083459175
175	0.1076375644
176	0.1061814683
177	0.1055435777
178	0.1050631663
179	0.1044372302
180	0.1037624925
181	0.1033139661
182	0.1027613531
183	0.1018600805
184	0.1008073645
185	0.1003208869
186	0.09928151819
187	0.09861669949
188	0.09806087837
189	0.09729923664
190	0.09681171968
191	0.09630921471
192	0.09565495458
193	0.09486626981
194	0.09431158049
195	0.09383438338
196	0.09321309991
